Squad,Tackles TklW_for,Tackles Def 3rd_for,Tackles Mid 3rd_for,Tackles Att 3rd_for,Challenges Tkl_for,Challenges Tkl%_for,Challenges Lost_for,Blocks Blocks_for,Blocks Sh_for,Blocks Pass_for,Unnamed: 15_level_0 Int_for,Unnamed: 17_level_0 Clr_for,Unnamed: 18_level_0 Err_for,Tackles TklW_against,Tackles Def 3rd_against,Tackles Mid 3rd_against,Tackles Att 3rd_against,Challenges Tkl_against,Challenges Tkl%_against,Challenges Lost_against,Blocks Blocks_against,Blocks Sh_against,Blocks Pass_against,Unnamed: 15_level_0 Int_against,Unnamed: 17_level_0 Clr_against,Unnamed: 18_level_0 Err_against,Season
Alavés,459,346,307,84,348,47.9,378,382,96,286,309,918,10,328,258,224,70,245,57.0,185,380,89,291,287,1123,16,2024-2025
Athletic Club,345,240,252,85,296,51.1,283,353,72,281,344,911,25,471,428,289,72,388,54.2,328,348,112,236,361,951,24,2024-2025
Atlético Madrid,375,305,238,76,319,50.9,308,358,97,261,260,818,25,365,276,206,97,305,52.5,276,437,110,327,369,969,35,2024-2025
Barcelona,332,186,245,107,271,52.1,249,329,60,269,227,601,14,405,378,245,68,375,45.2,455,497,175,322,381,1016,38,2024-2025
Betis,397,271,273,101,342,53.1,302,406,113,293,356,910,19,459,362,285,75,344,52.4,312,458,132,326,332,866,19,2024-2025
Celta Vigo,340,258,217,80,286,49.7,290,345,91,254,282,828,30,382,307,234,67,312,55.1,254,454,122,332,390,740,17,2024-2025
Espanyol,397,380,210,50,310,50.8,300,435,155,280,315,1131,21,309,234,209,64,266,54.6,221,346,97,249,292,773,20,2024-2025
Getafe,393,287,278,80,333,50.1,332,411,84,327,276,1065,15,391,357,248,64,312,54.1,265,351,127,224,282,1230,22,2024-2025
Girona,348,268,219,82,292,52.4,265,327,104,223,279,722,34,348,291,199,98,276,48.7,291,381,108,273,277,911,15,2024-2025
Las Palmas,370,308,253,58,307,51.9,285,434,139,295,321,971,28,360,253,230,80,288,54.6,239,353,100,253,307,974,19,2024-2025
Leganés,384,301,250,82,295,49.2,304,436,157,279,332,1201,18,351,247,253,77,263,46.5,302,291,80,211,279,768,20,2024-2025
Mallorca,361,305,211,68,257,51.4,243,389,153,236,326,1161,17,402,269,287,81,260,50.5,255,338,87,251,272,947,16,2024-2025
Osasuna,365,296,239,79,311,50.3,307,388,102,286,266,918,16,385,297,206,69,279,51.8,260,377,104,273,250,981,18,2024-2025
Rayo Vallecano,396,328,218,80,309,46.5,355,443,128,315,334,973,22,398,284,263,84,304,51.5,286,465,128,337,314,1004,24,2024-2025
Real Madrid,359,294,209,83,264,54.3,222,353,105,248,331,633,19,408,401,183,90,384,48.2,412,454,171,283,333,824,24,2024-2025
Real Sociedad,401,309,244,96,308,53.2,271,428,120,308,283,913,21,377,306,219,79,307,51.0,295,401,99,302,292,1003,14,2024-2025
Sevilla,390,321,240,87,312,55.4,251,368,88,280,367,931,17,375,306,260,85,320,48.6,339,385,110,275,283,890,22,2024-2025
Valencia,415,340,228,79,321,56.0,252,366,96,270,302,953,19,388,292,291,78,321,57.6,236,409,96,313,293,902,19,2024-2025
Valladolid,357,342,204,50,276,48.8,290,450,160,290,311,944,29,329,189,251,94,266,47.9,289,303,84,219,211,731,16,2024-2025
Villarreal,396,333,236,80,336,53.5,292,426,131,295,281,922,21,349,283,189,95,278,49.9,279,399,120,279,297,821,22,2024-2025
Alavés,347,284,227,67,290,46.1,339,363,117,246,279,810,5,340,279,216,58,254,45.0,310,393,115,278,233,802,14,2023-2024
Almería,372,354,222,57,280,48.1,302,430,134,296,313,856,19,364,249,236,98,314,51.2,299,357,103,254,280,676,15,2023-2024
Athletic Club,362,217,264,100,305,48.0,330,419,106,313,278,631,4,428,371,284,60,349,50.8,338,411,119,292,370,843,27,2023-2024
Atlético Madrid,399,308,263,83,327,48.7,344,460,114,346,256,793,8,318,257,182,91,227,43.3,297,407,104,303,298,735,17,2023-2024
Barcelona,363,271,223,77,243,46.5,280,363,97,266,257,573,17,392,333,227,83,338,46.8,384,450,159,291,318,770,10,2023-2024
Betis,440,305,300,87,358,52.4,325,422,101,321,345,801,9,464,337,343,76,329,46.0,386,484,144,340,314,693,13,2023-2024
Cádiz,398,338,264,69,341,46.8,387,443,123,320,298,786,13,370,281,253,72,263,53.3,230,341,89,252,243,795,7,2023-2024
Celta Vigo,382,302,243,82,308,46.5,354,434,116,318,297,832,9,382,309,254,64,291,49.7,295,444,125,319,335,721,8,2023-2024
Getafe,364,269,251,88,291,50.4,286,342,103,239,307,730,6,348,267,228,45,260,52.1,239,382,113,269,261,855,17,2023-2024
Girona,340,264,222,58,274,52.6,247,378,124,254,257,661,21,423,315,235,123,297,45.7,353,374,104,270,301,630,10,2023-2024
Granada,374,336,237,64,289,46.4,334,404,110,294,280,779,26,344,270,262,69,296,49.4,303,390,106,284,290,729,11,2023-2024
Las Palmas,397,328,263,71,305,48.2,328,416,98,318,281,761,14,415,301,301,71,308,49.4,316,426,99,327,335,656,7,2023-2024
Mallorca,388,347,281,58,340,51.8,317,369,131,238,365,785,10,318,237,231,64,219,46.6,251,375,108,267,295,814,10,2023-2024
Osasuna,311,247,201,77,243,47.0,274,400,108,292,263,756,16,339,286,187,57,247,51.0,237,411,101,310,291,903,9,2023-2024
Rayo Vallecano,372,279,282,69,270,44.4,338,410,105,305,308,796,12,408,314,284,81,306,52.0,283,388,119,269,285,759,17,2023-2024
Real Madrid,368,252,214,91,225,48.8,236,401,104,297,296,552,14,389,393,221,91,393,49.5,401,402,146,256,296,689,16,2023-2024
Real Sociedad,405,271,285,94,283,51.3,269,405,118,287,253,693,15,368,305,268,62,284,46.9,321,402,112,290,278,803,9,2023-2024
Sevilla,463,380,237,80,335,53.5,291,395,123,272,313,772,9,347,247,240,71,278,48.8,292,367,88,279,236,895,10,2023-2024
Valencia,379,335,250,72,309,50.0,309,392,105,287,324,842,9,379,293,231,88,294,51.6,276,406,87,319,269,646,10,2023-2024
Villarreal,348,288,212,76,260,48.9,272,386,130,256,304,789,12,436,331,258,96,329,48.4,351,422,126,296,346,584,11,2023-2024
Almería,322,292,202,63,280,44.9,343,435,122,313,322,855,13,369,274,233,84,310,51.2,296,373,108,265,249,553,14,2022-2023
Athletic Club,369,267,254,87,322,50.2,320,415,95,320,310,598,14,416,374,212,70,305,46.8,347,449,147,302,384,839,17,2022-2023
Atlético Madrid,408,332,245,90,334,48.8,351,396,103,293,304,704,9,317,271,181,87,262,44.9,322,445,134,311,368,663,14,2022-2023
Barcelona,324,211,216,95,227,45.6,271,353,82,271,253,439,17,385,332,250,65,321,44.8,396,423,139,284,369,746,17,2022-2023
Betis,421,373,238,54,338,48.2,363,411,112,299,364,857,7,417,303,268,93,311,46.0,365,437,95,342,324,584,9,2022-2023
Cádiz,410,358,205,60,320,47.7,351,425,128,297,270,853,13,374,255,249,99,249,50.3,246,347,87,260,242,727,10,2022-2023
Celta Vigo,413,319,269,76,295,43.6,381,393,84,309,368,666,5,356,314,204,75,295,47.7,323,369,121,248,394,681,9,2022-2023
Elche,363,367,212,54,280,46.4,323,413,131,282,323,766,13,402,293,265,98,311,47.6,342,418,97,321,288,698,9,2022-2023
Espanyol,379,330,239,83,301,50.2,299,416,134,282,338,788,9,326,239,220,46,260,50.3,257,328,100,228,238,822,10,2022-2023
Getafe,339,282,199,60,285,46.0,334,404,113,291,320,794,10,290,211,190,56,189,46.6,217,378,95,283,300,723,14,2022-2023
Girona,321,271,213,67,244,45.9,288,379,111,268,266,662,20,415,289,265,87,311,47.7,341,359,78,281,304,659,10,2022-2023
Mallorca,344,318,213,52,283,48.7,298,402,146,256,318,859,7,296,202,217,81,198,40.3,293,333,82,251,231,621,8,2022-2023
Osasuna,328,256,196,82,266,45.2,322,392,97,295,315,749,10,332,318,195,50,247,44.1,313,381,93,288,311,797,7,2022-2023
Rayo Vallecano,393,262,276,98,281,42.3,383,428,92,336,309,680,11,391,317,278,69,290,49.5,296,416,133,283,345,810,10,2022-2023
Real Madrid,353,242,212,88,259,45.8,306,365,105,260,296,469,5,407,377,218,81,379,44.4,475,492,175,317,331,678,8,2022-2023
Real Sociedad,395,304,254,102,285,46.5,328,399,103,296,271,624,13,403,341,237,83,293,48.8,307,402,110,292,325,613,15,2022-2023
Sevilla,367,261,230,96,281,47.5,310,361,127,234,339,633,9,353,273,206,90,257,48.9,269,358,96,262,271,769,13,2022-2023
Valencia,428,340,254,84,311,48.2,334,370,75,295,288,643,21,382,354,219,72,307,46.6,352,418,133,285,294,834,15,2022-2023
Valladolid,396,334,251,86,296,47.1,332,432,149,283,345,767,8,389,309,232,93,318,50.7,309,409,97,312,264,662,5,2022-2023
Villarreal,370,276,201,101,270,50.6,264,372,125,247,262,691,16,423,349,240,99,345,44.2,435,426,114,312,349,618,16,2022-2023
Alavés,324,271,221,58,262,41.1,375,373,106,267,376,890,7,273,249,193,69,233,46.2,271,351,87,264,311,729,12,2021-2022
Athletic Club,292,217,216,75,224,38.5,358,411,128,283,339,788,8,353,293,224,56,232,43.9,297,393,131,262,387,817,14,2021-2022
Atlético Madrid,346,290,279,67,293,47.3,326,372,98,274,365,649,14,309,297,201,72,217,36.2,383,364,103,261,404,803,10,2021-2022
Barcelona,331,236,270,81,244,49.5,249,346,85,261,325,467,17,352,309,250,72,273,36.5,474,376,109,267,392,809,10,2021-2022
Betis,392,322,261,79,324,46.6,371,386,112,274,361,777,11,370,331,254,62,282,43.1,372,416,135,281,375,614,11,2021-2022
Cádiz,380,346,238,63,301,42.3,410,390,106,284,413,768,5,312,265,197,67,238,45.9,281,328,89,239,323,792,12,2021-2022
Celta Vigo,409,324,279,93,286,37.5,476,423,91,332,376,634,11,324,236,237,81,244,41.4,346,410,97,313,454,776,14,2021-2022
Elche,325,335,191,63,268,43.1,354,367,126,241,305,769,14,346,244,268,76,258,43.2,339,363,87,276,359,617,9,2021-2022
Espanyol,338,308,196,53,275,42.6,371,360,114,246,326,892,20,350,248,249,77,243,39.4,373,338,98,240,287,591,4,2021-2022
Getafe,360,266,243,78,248,41.8,346,400,96,304,401,719,8,279,204,239,68,210,46.5,242,343,106,237,357,668,8,2021-2022
Granada,343,310,240,61,274,43.4,358,437,130,307,326,841,8,280,268,193,85,225,45.5,270,359,106,253,307,662,11,2021-2022
Levante,305,268,212,78,237,38.8,374,326,110,216,377,735,12,384,345,238,54,335,49.0,348,379,107,272,327,621,17,2021-2022
Mallorca,332,301,235,71,248,45.0,303,374,119,255,344,826,9,351,257,304,87,244,39.9,368,377,121,256,306,746,10,2021-2022
Osasuna,331,270,236,71,251,42.0,347,340,115,225,368,758,5,326,265,204,46,206,44.1,261,355,99,256,353,843,15,2021-2022
Rayo Vallecano,359,320,237,64,280,40.7,408,410,95,315,365,686,9,391,304,274,75,282,44.1,357,400,130,270,343,711,15,2021-2022
Real Madrid,345,281,195,84,211,42.0,291,379,114,265,334,526,17,346,347,159,95,324,41.5,456,443,161,282,342,696,16,2021-2022
Real Sociedad,339,271,234,81,260,47.6,286,382,105,277,348,703,6,415,344,276,81,310,46.3,360,424,117,307,339,693,9,2021-2022
Sevilla,302,252,211,71,236,43.5,306,367,124,243,270,603,18,353,312,203,94,283,48.1,305,344,91,253,348,748,8,2021-2022
Valencia,364,289,217,85,266,42.7,357,373,93,280,339,746,8,335,299,211,66,282,43.9,360,314,90,224,286,795,7,2021-2022
Villarreal,312,250,197,91,229,48.1,247,330,109,221,329,644,16,380,310,234,84,296,39.7,450,469,112,357,387,690,11,2021-2022
Alavés,292,263,181,55,197,34.9,368,341,90,251,428,766,8,278,197,215,57,213,45.5,255,309,89,220,342,623,13,2020-2021
Athletic Club,269,194,200,67,167,32.4,348,341,74,267,344,684,9,303,265,226,41,197,39.3,304,396,94,302,484,772,6,2020-2021
Atlético Madrid,367,291,253,78,296,46.9,335,361,83,278,386,671,7,315,308,185,63,214,36.4,374,359,88,271,454,674,9,2020-2021
Barcelona,293,223,195,81,224,42.9,298,325,70,255,361,429,16,320,357,181,60,257,33.4,513,440,133,307,517,639,8,2020-2021
Betis,314,274,220,62,211,37.9,345,361,74,287,452,687,11,336,286,245,55,218,34.2,420,408,130,278,364,610,12,2020-2021
Cádiz,317,305,216,52,247,40.7,360,368,99,269,437,788,8,300,217,199,70,192,37.4,321,244,41,203,302,660,10,2020-2021
Celta Vigo,368,332,259,71,238,34.3,456,399,89,310,405,751,12,288,183,204,81,189,40.6,276,344,76,268,489,522,6,2020-2021
Eibar,309,228,204,82,203,39.2,315,360,63,297,434,593,11,319,285,196,38,199,38.3,320,359,98,261,406,933,7,2020-2021
Elche,335,324,189,38,210,36.3,368,357,97,260,386,689,11,347,216,281,101,253,40.9,365,327,57,270,406,586,8,2020-2021
Getafe,352,232,276,71,241,38.9,378,361,53,308,393,615,4,313,339,196,39,220,45.5,263,352,88,264,390,838,3,2020-2021
Granada,279,226,213,60,185,39.5,283,388,128,260,392,764,7,313,265,227,58,204,39.5,312,363,78,285,359,613,9,2020-2021
Huesca,322,309,191,56,239,41.3,340,342,83,259,437,616,7,309,212,221,99,227,34.8,426,325,80,245,323,773,14,2020-2021
Levante,283,268,189,55,208,38.3,335,336,94,242,432,680,15,334,287,204,84,249,40.5,366,374,76,298,433,638,8,2020-2021
Osasuna,281,223,217,84,224,40.6,328,349,100,249,392,774,7,309,252,195,58,195,44.3,245,312,79,233,338,694,7,2020-2021
Real Madrid,318,266,188,77,192,36.1,340,344,83,261,398,544,12,295,277,184,70,216,33.5,429,418,133,285,380,707,16,2020-2021
Real Sociedad,322,240,227,80,200,41.7,280,353,96,257,315,563,5,311,253,212,66,220,40.0,330,413,104,309,379,710,16,2020-2021
Sevilla,297,220,200,72,184,36.1,326,310,90,220,362,636,10,306,255,196,65,207,34.6,392,325,87,238,407,635,13,2020-2021
Valencia,277,241,163,59,198,33.4,394,372,123,249,392,785,12,295,210,198,72,212,38.3,341,332,93,239,391,540,9,2020-2021
Valladolid,321,285,208,66,247,36.3,434,379,102,277,431,812,9,314,256,206,79,213,42.3,291,311,74,237,368,701,12,2020-2021
Villarreal,313,256,205,78,239,40.6,349,358,101,257,371,638,17,324,280,223,88,255,36.8,437,394,94,300,416,617,12,2020-2021
Alavés,346,261,265,53,255,41.2,364,385,114,271,392,766,7,347,228,258,69,246,49.5,251,291,66,225,329,584,10,2019-2020
Athletic Club,324,262,204,67,217,35.4,396,339,92,247,373,755,7,313,270,222,57,250,42.6,337,330,85,245,327,704,15,2019-2020
Atlético Madrid,406,293,272,93,283,44.2,357,380,108,272,412,729,18,355,292,224,56,195,35.9,348,342,112,230,384,709,12,2019-2020
Barcelona,323,216,223,97,211,42.1,290,313,87,226,342,529,16,361,351,202,70,269,33.9,524,430,117,313,525,575,12,2019-2020
Betis,299,276,173,52,221,43.2,290,336,119,217,302,682,8,374,301,251,71,268,37.6,445,369,108,261,364,644,13,2019-2020
Celta Vigo,357,344,193,52,251,40.8,364,345,89,256,396,807,12,348,253,275,87,240,39.3,370,401,88,313,384,646,14,2019-2020
Eibar,338,240,228,99,264,43.5,343,332,81,251,430,692,8,331,293,218,42,198,43.2,260,328,97,231,342,923,17,2019-2020
Espanyol,364,303,253,72,257,36.7,444,380,96,284,360,731,17,305,265,217,57,208,42.5,281,319,107,212,367,787,9,2019-2020
Getafe,341,235,263,82,235,41.0,338,374,60,314,367,625,12,292,307,174,39,202,42.4,274,384,100,284,384,852,13,2019-2020
Granada,349,257,257,70,238,41.8,332,375,118,257,383,750,10,302,267,206,70,253,45.8,300,335,99,236,333,665,13,2019-2020
Leganés,357,317,215,71,254,41.6,356,320,73,247,418,687,7,339,260,214,56,239,41.1,342,324,100,224,332,850,6,2019-2020
Levante,288,281,173,53,204,38.3,328,317,107,210,331,763,14,349,242,226,85,251,39.4,386,385,112,273,321,662,7,2019-2020
Mallorca,338,280,213,52,227,37.7,375,360,117,243,376,672,9,393,315,277,78,317,44.7,392,352,94,258,383,690,8,2019-2020
Osasuna,361,275,267,71,267,43.3,350,385,98,287,417,738,19,316,234,218,64,210,40.0,315,345,91,254,406,776,18,2019-2020
Real Madrid,355,252,253,81,226,38.0,369,367,77,290,381,590,13,352,302,216,82,285,37.1,484,367,101,266,374,777,14,2019-2020
Real Sociedad,321,254,224,73,252,44.0,321,346,79,267,320,694,12,359,268,260,63,234,39.7,355,421,108,313,409,708,9,2019-2020
Sevilla,344,274,246,67,261,39.5,400,331,94,237,346,704,10,380,304,226,76,254,38.1,413,385,109,276,430,810,15,2019-2020
Valencia,311,270,173,57,232,39.4,357,334,130,204,360,748,12,288,207,201,78,203,37.0,345,274,74,200,372,634,11,2019-2020
Valladolid,327,316,204,48,239,35.6,433,391,112,279,390,749,13,331,240,224,91,231,40.6,338,337,93,244,300,613,11,2019-2020
Villarreal,323,250,239,64,218,36.2,384,362,116,246,339,814,12,337,257,229,83,259,37.5,431,353,106,247,369,616,9,2019-2020
Alavés,389,352,228,66,254,42.7,341,419,117,302,390,1066,13,330,259,240,55,213,43.6,276,363,91,272,364,859,10,2018-2019
Athletic Club,384,311,245,87,245,37.9,401,414,93,321,453,815,7,402,290,234,74,254,46.9,288,375,81,294,355,868,8,2018-2019
Atlético Madrid,487,402,298,84,319,45.6,381,374,94,280,463,837,12,383,331,212,74,205,35.9,366,394,100,294,436,817,9,2018-2019
Barcelona,346,218,232,87,226,45.9,266,360,101,259,391,565,16,435,426,252,64,307,40.8,446,438,106,332,545,689,23,2018-2019
Betis,378,309,227,79,219,40.3,325,382,80,302,361,702,21,392,318,258,83,267,37.3,449,421,114,307,424,757,16,2018-2019
Celta Vigo,377,364,213,57,258,45.9,304,380,105,275,382,889,19,379,290,250,77,246,39.3,380,386,120,266,361,727,13,2018-2019
Eibar,424,238,289,110,240,42.6,323,357,53,304,368,683,10,393,387,197,51,248,41.9,344,453,98,355,474,1263,15,2018-2019
Espanyol,394,324,244,87,263,38.5,421,402,134,268,408,950,14,382,275,208,95,204,39.1,318,441,113,328,420,690,17,2018-2019
Getafe,358,246,281,77,255,41.3,362,422,81,341,453,888,15,389,336,240,67,277,48.1,299,416,97,319,342,878,14,2018-2019
Girona,367,309,247,57,264,41.5,372,401,124,277,432,928,14,366,304,234,53,221,41.2,316,311,75,236,407,858,17,2018-2019
Huesca,452,363,290,59,303,43.7,391,414,107,307,440,953,12,399,291,272,71,278,47.0,314,383,102,281,374,913,9,2018-2019
Leganés,382,325,221,63,227,39.1,354,329,84,245,432,907,10,342,255,198,67,216,46.1,253,319,78,241,351,916,11,2018-2019
Levante,372,308,196,68,264,36.6,458,455,151,304,422,842,12,480,367,296,102,336,45.5,402,397,106,291,397,825,12,2018-2019
Rayo Vallecano,422,369,223,59,257,43.4,335,388,77,311,433,931,16,491,335,354,120,314,37.0,534,380,120,260,371,768,15,2018-2019
Real Madrid,395,267,253,106,245,39.0,384,374,78,296,373,602,11,397,334,243,74,295,39.1,460,465,148,317,449,856,18,2018-2019
Real Sociedad,344,299,219,61,248,42.5,336,444,109,335,425,842,19,478,349,290,94,267,39.4,411,406,89,317,390,721,11,2018-2019
Sevilla,408,288,237,73,203,39.6,310,370,114,256,365,817,15,396,297,245,98,249,41.1,357,455,128,327,444,994,15,2018-2019
Valencia,384,299,228,71,238,40.5,350,447,120,327,418,860,12,377,270,247,66,246,41.8,343,387,95,292,448,818,16,2018-2019
Valladolid,441,369,265,80,280,41.3,398,413,113,300,387,874,16,347,260,216,54,183,38.4,294,358,87,271,395,825,12,2018-2019
Villarreal,413,333,255,79,273,41.4,386,406,142,264,390,877,12,359,319,205,71,255,42.3,348,403,129,274,439,786,15,2018-2019
Alavés,464,364,265,73,267,40.3,396,407,133,274,498,981,11,462,323,246,81,246,42.7,330,317,88,229,422,721,5,2017-2018
Athletic Club,486,359,304,76,296,40.3,439,432,103,329,465,820,9,449,332,280,58,261,42.7,350,374,76,298,422,919,6,2017-2018
Atlético Madrid,614,442,372,103,377,44.5,470,462,129,333,513,885,4,494,346,273,96,267,38.5,426,390,91,299,488,792,12,2017-2018
Barcelona,413,281,262,86,229,41.5,323,366,103,263,424,525,10,517,438,307,74,354,36.4,619,477,128,349,618,694,14,2017-2018
Betis,424,319,252,64,213,39.7,324,356,95,261,427,869,17,405,296,261,65,240,35.3,439,356,94,262,448,566,8,2017-2018
Celta Vigo,420,304,232,53,218,39.2,338,327,101,226,497,780,10,426,296,288,71,227,37.6,376,372,103,269,495,735,13,2017-2018
Eibar,436,271,282,90,258,42.1,355,349,53,296,554,712,9,435,402,231,38,297,45.8,352,401,115,286,510,1156,4,2017-2018
Espanyol,500,357,278,81,271,38.7,429,362,116,246,515,902,9,443,318,275,68,273,45.8,323,404,95,309,433,846,9,2017-2018
